20230320	10:57:26	f5690934-5718-41ca-b97a-c01d9e972c3b	/new-page	GET
20230320	10:57:26	b766f138-c5a2-4894-97bc-e8e386dd8c0f	/css/style.css	GET
20230320	10:57:26	5a4f91a6-7ec7-4942-80a4-562dc3e3570a	/img/macbook.jpg	GET
20230320	10:57:26	48e4df6a-2124-40e6-963e-741ef309bd31	/favicon.ico	GET
20230320	13:08:45	bb714765-610e-496f-9605-7f7f27cb7a42	GET	undefined	/
20230320	13:08:45	cf3c8b57-a399-40a7-ad46-95ab5d69f973	GET	undefined	/css/style.css
20230320	13:11:46	3e98f981-b4d4-4317-8cca-deddb106926e	GET	undefined	/
20230320	13:11:46	012fdd81-0eeb-4056-8c5f-8d9659f15a23	GET	undefined	/css/style.css
20230320	13:13:21	204717f4-4552-4eac-a226-aef0e51a8ffa	OPTIONS	https://www.google.com	/
20230320	13:13:21	a0d1c9dd-2550-4839-b1a2-8cb977f7b293	GET	https://www.google.com	/
20230320	13:15:10	96656fce-42c1-438a-b168-590986b98456	OPTIONS	https://www.google.com	/
20230320	13:15:10	5b552a0b-9525-424c-a746-3a3b98d38555	GET	https://www.google.com	/
20230320	13:21:15	e314ded4-d771-4b67-8a53-58df758ac402	OPTIONS	https://www.google.com	/
20230320	13:21:15	2672c8a8-311e-4aab-b376-da4f4e109776	GET	https://www.google.com	/
20230320	13:21:35	cb91157e-e29a-491f-a828-ac4e01c4e3a2	OPTIONS	https://www.google.com	/
20230320	13:21:35	4a31079d-d56f-4981-86f9-725bbce17030	GET	https://www.google.com	/
20230320	13:23:22	9acfb55a-e27f-4f74-83dc-6cf627c31397	OPTIONS	https://www.google.com	/
20230320	13:23:22	50696822-63c6-46b1-95d0-e44670bc123d	GET	https://www.google.com	/
20230320	13:36:37	675b4174-7d51-4167-b2d1-aad7a3db4c3a	GET	undefined	/
20230320	13:37:59	d393d360-6a5a-4ce9-9228-6aa08bb54afe	GET	undefined	/
20230320	13:37:59	91594e6a-aefd-4d51-a4ee-7d7575e413b1	GET	undefined	/css/style.css
20230320	13:45:25	b862c37e-6f50-4df8-96a8-5115c84763d5	GET	undefined	/
20230320	13:46:30	f0c19c3e-53d4-439d-9898-9fa3a3f3721d	GET	undefined	/
20230320	13:46:30	a56fa1e3-b763-4d37-abe9-38db3d7e42e2	GET	undefined	/css/style.css
20230320	13:48:00	188e3f05-9874-4f81-8f99-6ac84c679c4d	GET	undefined	/
20230320	13:48:00	4fdbfe79-5c20-4e7c-a67c-224c52a7b0c4	GET	undefined	/css/style.css
20230320	13:52:06	fa8cf0fc-96cd-431e-8ba0-a6c010ec4965	GET	undefined	/njl
20230320	13:52:06	99336bbf-44fa-4c21-819a-d35a4fea117e	GET	undefined	/css/style.css
20230320	14:38:43	2ff5e13b-c83d-448c-9de7-d966fa4b638f	GET	undefined	/
20230320	14:38:43	40ea455d-9909-45e4-a34a-ca91ecc54ded	GET	undefined	/css/style.css
20230320	14:38:56	360dc229-02ab-446c-963c-ea61f902493c	GET	undefined	/subdir/cdfdsf
20230320	14:38:56	0b291aa5-01e5-42b5-b5d0-46e3903f7942	GET	undefined	/subdir/css/style.css
20230320	14:39:09	a9e50c8a-b9ce-4743-bd41-ac0032a0a02f	GET	undefined	/subdir/cdfdsf
20230320	14:39:09	1ba80e32-bd6d-44af-b17f-f2c7b2d8bf73	GET	undefined	/subdir/css/style.css
20230320	14:57:55	d8423ec6-f5a0-4b24-90b7-d7cdffc2de68	GET	undefined	/
20230320	14:57:55	efea3b93-c3c5-426d-8fbf-b0009a3fde5a	GET	undefined	/css/style.css
20230320	14:58:03	6c0095cb-16f7-4017-8f7c-2a965264125f	GET	undefined	/new-page
20230320	14:58:03	b8b0dc0f-8448-4d4d-b20f-9bb77cbd04a2	GET	undefined	/css/style.css
20230320	14:58:03	960946cd-b83d-4b9b-843f-3a49c31ac206	GET	undefined	/img/macbook.jpg
20230320	14:58:20	51ad18c8-82c3-4203-83fa-a4e01d18e242	GET	undefined	/new-page.html
20230320	14:58:20	3ff08fad-d555-417c-839b-5d8d7f07b720	GET	undefined	/css/style.css
20230320	14:58:20	88a86e70-5030-4d5f-bd7a-4f151afe6615	GET	undefined	/img/macbook.jpg
20230320	14:58:31	41c0594d-def1-4f50-a1ff-a33b9a0aeddb	GET	undefined	/index
20230320	14:58:31	2ecdd521-2b80-4c69-bcbb-b9d4aba436e0	GET	undefined	/css/style.css
20230320	15:21:09	55fd47b7-4082-4507-aae6-2a9c11dac72b	GET	undefined	/empoyees
20230320	15:49:49	af545966-6a59-4e18-8ceb-4056a2a33595	GET	undefined	/empoyees
20230320	15:52:22	5ce062e4-e38d-4de9-b543-2a4a53acc567	GET	undefined	/
20230320	15:52:22	1044755c-905b-4d86-af5b-88c1677b7b2a	GET	undefined	/css/style.css
20230320	15:52:26	24b0fe80-8984-42df-a640-2754c3a0de7f	GET	undefined	/employees
20230320	15:52:26	76b2188b-8b9f-4812-b35b-37b02ec3a236	GET	undefined	/favicon.ico
20230320	16:05:05	aa45af55-2875-42c2-9334-1b409a89cb38	GET	undefined	/empoyees
20230320	16:06:38	cec68acc-ba6f-4fb3-84cf-df5617316e89	GET	undefined	/empoyees
20230320	16:07:18	b628dc88-38cd-494d-8261-d231eee76f74	GET	undefined	/
20230320	16:07:52	af8218bf-6127-43c1-832d-a7f68a730c7f	GET	undefined	/data
20230320	16:44:55	b3ff9cf8-07c6-4e7c-94e4-2edaa8a53946	GET	undefined	/employees
